mwe_template	semantic_tags
Jeg_PRON vil_AUX hellere_ADV	E2++
procent_NOUN rabat_NOUN	I1.3-
niveau_NOUN standard_NOUN	A5.1
*_* Ocean_NOUN	Z2
*_* alliance_NOUN	S5+
*_* sindet_ADJ	Df/E2+
*_* orienteret_ADJ	Df
*_* revolution_NOUN	G1.2 A2.1+
*_* shortage*_* mangel_NOUN	Df/N5-
til_ADP helvede_NOUN	Df/N5+
*_ADJ *_ADJ grænse_NOUN	Z2
*_ADJ *_PROPN egennavn_NOUN	T1.3
egennavn_NOUN med_ADP nummer_NOUN	T1.2
*_ADJ Hær_NOUN	Z3c
*_ADJ Avenue_NOUN	Z2
*_ADJ Centralkomité_NOUN Committee*_NOUN	G1.1/S7.1+
*_ADJ Kongres_NOUN	G1.1
*_ADJ Korps_NOUN	Z3c
*_ADJ Ambassade_NOUN	Z3c
*_ADJ Fregatskvadron_NOUN Squadron_NOUN	Z3c
*_ADJ Sygehus_NOUN Hospital_NOUN	Z3c
*_ADJ Højkommission_NOUN Commission*_NOUN	Z3c
*_ADJ MB_NOUN	P1/B3
*_ADJ Ocean_NOUN	Z2
*_ADJ Para_NOUN	Z3c
*_ADJ Gade_NOUN	Z2
*_ADJ Verdenskrig_NOUN War_NOUN	Z3
*_ADJ belt*_NOUN Bælte_NOUN	K5.1/S2mf
*_ADJ Audition_NOUN audition*_NOUN	K4
*_ADJ Århundrede_NOUN	T1.3
*_ADJ Klasseaccent_NOUN accent*_NOUN	Q3/S5+
*_ADJ Klassefamilier_NOUN families_NOUN	S4/S5+
*_ADJ Klassefamilie_NOUN family_NOUN	S4/S5+c
klasse_NOUN æresgrad_NOUN	P1
fætter_NOUN eller_CONJ kusine_NOUN	S4mf
*_ADJ division_NOUN	K5.1/S5+c A5.1-
*_ADJ gulv_NOUN	H2
*_ADJ form*_NOUN form_NOUN	P1c
*_ADJ formstuderende_NOUN student*_NOUN	P1/S2mf
*_ADJ gear_NOUN	M3
*_ADJ se_VERB	Df/A8
*_ADJ natur_NOUN	S1.2/Df
*_ADJ af_ADP *_PROPN	T1.2
*_ADJ af_ADP *_PROPN *_NUM	T1.2
*_ADJ mulig_ADJ	Df+++
*_ADJ læsning_NOUN	G1.1
*_ADJ speaker*_NOUN taler_NOUN	Q3/S2mf
*_ADJ stil_NOUN	Df
*_ADJ bryllupsdag_NOUN anniversar*_NOUN	T1.2/S4
*_ADJ bryllupsdag_NOUN anniversary_NOUN	S4/T1.2
*_ADJ år_NOUN	T1.3 P1/S2mf
*_ADJ årsafhandling_NOUN dissertation*_NOUN	P1
*_ADJ årsprøve_NOUN exam*_NOUN	P1
*_ADJ år_NOUN	P1/S2mf
alle_DET optrædener_NOUN	A8/A5.2+
forrest_ADJ i_ADP sindet_NOUN	X5.1+
i_ADP træk_NOUN	N6+
fødder_NOUN under_ADP bordet_NOUN	S5+
hjertet_NOUN går_VERB ud_ADV til_ADP	E1
hjertet_NOUN gik_VERB ud_ADV til_ADP	E1
gammel_ADJ mand_NOUN	S4m
*_DET eje_VERB	Z8
egen_ADJ søde_ADJ måde_NOUN	X4.2/S5-
*_DET selv_NOUN	Z8
*_DET selver_NOUN	Z8
tiden_NOUN er_VERB kommet_VERB	T4
*_DET tider_NOUN	N6+
måde_NOUN at_PART omgå_VERB	M6 N4
*_DET {ADJ/INTJ} *_NOUN siden_ADV	T1.1.1
substantiv_NOUN substantiv_NOUN tal_NUM	Z2
substantiv_NOUN substantiv_NOUN tal_NUM tal_NUM	Z2
substantiv_NOUN substantiv_NOUN proprium_PROPN	Z2
*_NOUN *_PROPN accent_NOUN *_NOUN	Q3
*_NOUN Bank_PROPN Holiday_NOUN *_NOUN	T1.3/K1
*_NOUN Corps_NOUN *_NOUN	Z3c
*_NOUN Crescent_NOUN *_NOUN	Z2
*_NOUN First_ADJ School_NOUN *_NOUN	Z3c
*_NOUN Lane_NOUN Campus_NOUN *_NOUN	Z2
*_NOUN Lapillus_NOUN	L2
*_NOUN Pub_NOUN *_NOUN	Z3c
*_NOUN Regiment_NOUN *_NOUN	Z3c
*_NOUN Squash_NOUN Club_NOUN *_NOUN	Z3c
*_NOUN Street_NOUN *_NOUN	Z2
*_NOUN Theatre_NOUN *_NOUN	Z3c
*_NOUN Ward_NOUN *_NOUN	Z3c
*_NOUN Wharf_NOUN *_NOUN	Z2
*_NOUN accident_NOUN *_NOUN	A1.4/Df
*_NOUN ache_NOUN *_NOUN	B2-
*_NOUN addict_NOUN *_NOUN	Df/X5.2++mfn
*_NOUN age_NOUN times_NOUN *_NOUN	T1.1.1
*_NOUN siden_ADV	T1.1.1
*_NOUN lidelse_NOUN	B2-
*_NOUN og_CCONJ *_NOUN	T1.3
*_NOUN og_CCONJ *_NOUN siden_ADV	T1.1.1
*_NOUN og_CCONJ en_DET halv_DET gammel_ADJ	T3 T3/S2mf
*_NOUN og_CCONJ en_DET halv_NOUN	N3.3 N3.5 N3.6 N3.4
*_NOUN arrangement_NOUN	Df
*_NOUN baseret_VERB	Df
*_NOUN regning_NOUN	I1.2/Df
*_NOUN blomst_NOUN	L3
*_NOUN bog_NOUN	Q4.1/Df Q1.2/Df
*_NOUN entusiast_NOUN	Df/X5.2+mf
*_NOUN kage_NOUN	F1
*_NOUN dreng_NOUN	Df/S2m
*_NOUN klasse_NOUN	Df/P1c
*_NOUN klub_NOUN	Df/S5+c
*_NOUN farvet_ADJ	O4.3
*_NOUN virksomhed_NOUN	Df/I2.1c
*_NOUN bevidst_ADJ	Df/E6-
*_NOUN land_NOUN	Z2
*_NOUN landbaseret_ADJ based_*	M7
*_NOUN course*_NOUN kursus_NOUN	Df/P1
*_NOUN degree*_NOUN grad_NOUN	Df/P1
*_NOUN department*_NOUN afdeling_NOUN	Df/S5+c
*_NOUN disease*_NOUN sygdom_NOUN	B2-
*_NOUN disorder*_NOUN forstyrrelse_NOUN	B2-
*_NOUN drevet_ADJ	Df/A2.2
*_NOUN element*_NOUN element_NOUN	Df
*_NOUN environment*_NOUN miljø_NOUN	Df
*_NOUN udstyr_NOUN	Df/O2
*_NOUN exam*_NOUN eksamen_NOUN	P1/Df
*_NOUN konfrontere_VERB	M6
*_NOUN factor*_NOUN faktor_NOUN	Df
*_NOUN fan*_NOUN fan_NOUN	Df/E2+mf
*_NOUN firm*_NOUN firma_NOUN	Df/I2.1c
*_NOUN flan*_NOUN tærte_NOUN	F1
*_NOUN fri_ADJ	Df/Z6
*_NOUN udstyr_NOUN	B5/Df Df/O2
*_NOUN gearet_ADJ	Df
*_NOUN ansættelse_NOUN	I2.2/Df
*_NOUN holiday*_NOUN ferie_NOUN	K1/T1.3
ind_ADP og_CCONJ ud_ADP	N6+
*_NOUN industrier_NOUN	I4/Df
*_NOUN industri_NOUN	I4/Dfc
*_NOUN infection*_NOUN infektion_NOUN	B2-
*_NOUN skader_NOUN	B2-
*_NOUN skade_NOUN	B2-
*_NOUN like_ADJ	Df
*_NOUN lined_VERB	O4.1
*_NOUN lover*_NOUN elsker_NOUN	Df/E2+mf
*_NOUN vred_ADJ	Df/X5.2+
*_NOUN market*_NOUN marked_NOUN	Df/I2.2
