lemma	pos	semantic_tags
og	CCONJ	Z5
pund	NOUN	I1 N3.5 M7 A1.1.2
det	PART	Z5
om	ADP	Z5
fordi	SCONJ	Z5/A2.2 Z5
naturligvis	ADV	Z4
ville	AUX	A7+
dem	PRON	Z8 Z8mfn
ham	PRON	Z8m
vil	AUX	T1.1.3
er	VERB	A3+ Z5
s	PART	Z5
s	VERB	A9+ A3+ A2.2 Z5
det	PRON	Z8 Z5
til	ADP	Z5
til	SCONJ	Z5
har	VERB	A9+ A2.2 Z5 S4
hektar	NOUN	N3.6
plus	ADP	Z5
halv	NUM	N1 N5
fjerdedel	NUM	N1
ti	NOUN	N1
to-tredjedele	NUM	N1 N5
tre-kvart	NUM	N1
3g	NOUN	Q1.3/Y2
tredje	ADJ	N4 N5 N1
femårs	ADJ	T1.3 T3
40-fold	ADJ	N5
40-minutters	ADJ	T1.3
40-ton	ADJ	N3.5
40k	NOUN	I1
42-årig	ADJ	T3
44-årig	ADJ	T3
45-årig	ADJ	T3
450k	NOUN	I1
47-butik	ADJ	I2.2/H1c
fjerde	ADJ	N4
fem	NUM	N1 T3 T1.2
5-a-side	ADJ	K5.1
5-dages	NOUN	T1.3 T3
5-timers	ADJ	T1.3
5-års	ADJ	T1.3 T3
5/6	NUM	N1
50-60%	NUM	N5
50/50	NUM	A7 N5
50k	NOUN	I1
52-ugers	ADJ	T1.3
53-årig	ADJ	T3
58-årig	ADJ	T3
5k	NOUN	I1
5p	NOUN	I1
6-fods	ADJ	N3.7
6-måneders	ADJ	T1.3 T3
600k	NOUN	I1
620	NUM	N1 Z3
650k	NOUN	I1
69-årig	ADJ	T3
sjette	ADJ	N4 N1
7-dages	ADJ	T1.3 T3
7/8-længde	NUM	N3.7
70-80%	NUM	N5
70-og-noget	NUM	N1
75/25	NUM	N5
757	NUM	M5fn
9-vejs	ADJ	M6
90'	NUM	T1.3
90-miles	NOUN	N3.3
95-og-noget	NUM	T3 T1.3 T1.2
96-årig	ADJ	T3
98-punds	ADJ	N3.5
99,9%	NOUN	N5
999	NUM	N1 Z3c
a-niveau	NOUN	P1
a-niveauer	NOUN	P1
atombombe	NOUN	G3
a-vej	NOUN	M3
a3-stor	ADJ	N3.2/Q1.2
aids	NOUN	B2-
aids-relateret	ADJ	B2-
ak-47	NOUN	G3
ak-74	NOUN	G3
atv	NOUN	Z3c
aaron	PROPN	Z1m
kloster	NOUN	S9/H1 H3/S9 S9/S5-
aborigin	NOUN	M7/S2mf
akademi	NOUN	P1c P1/H1 S5+c
handlinger	NOUN	A5.4- G2.1 K4 A1.1.1 S9/Q4.1@ P1%
adenoider	NOUN	B1
administrator	NOUN	S7.1+/S2mf
admiral	NOUN	M4/S2m G3/S7.1+/S2mf
admiralitet	NOUN	Z3c
afghaner	NOUN	Z2/S2mf
afghansk	ADJ	Z2 Z2/Q3
afghanere	NOUN	Z2/S2mf
afrikansk	ADJ	Z2
afrikaner	NOUN	Z2/S2mf
afrikaner-amerikaner	NOUN	Z2/S2mf
afrikaner-amerikanere	NOUN	Z2/S2mf
afrikanere	NOUN	Z2/S2mf
afrikaans	NOUN	Z2/S2mf
afro	NOUN	O4.1 B4
afro-amerikaner	NOUN	Z2/S2mf
afro-amerikanere	NOUN	Z2/S2mf
afro-brazilianer	NOUN	Z2/S2mf
afro-brazilianere	NOUN	Z2/S2mf
afro-karibier	NOUN	Z2/S2mf
afro-kolumbianer	NOUN	Z2/S2mf
hjælpe	VERB	S8+
airbus	NOUN	M5
lufttæt	ADJ	A1.7+ O4.1 A5.3+
albansk	ADJ	Z2
albanner	NOUN	Z2/S2mf
albanere	NOUN	Z2/S2mf
alexandrinsk	ADJ	Z2
alexandrer	NOUN	Z2/S2mf
algebra	NOUN	N2
algerisk	ADJ	Z2
algerier	NOUN	Z2/S2mf
allierede	NOUN	S5+
almagten	NOUN	Z1/S9
alfa	NOUN	W1 X9.2+
alsassier	NOUN	Z2/S2mf Z2/Q3
alsassisk	ADJ	Z2 Z2/Q3
skiftevis	ADV	A6.3+ A6.1-
amazon	NOUN	S2.1f Z2/S2mf S1.2.5+/S2.1f
amazonisk	ADJ	Z2 S1.2.5+
ambassadør	NOUN	G1.1/S2mf S1.1.1/S2mf
ambulatorisk	ADJ	M1
amerikaner	NOUN	Z2/S2mf M2
amerikansk	ADJ	Z2 Z2/A4.1
amerikanisme	NOUN	Z2
