lemma	pos	semantic_tags
en	CCONJ	Z5
pond	NOUN	I1 N3.5 M7
tot	ADP	Z5
tot	SCONJ	Z5
hectare	NOUN	N3.6
plus	ADP	Z5
gebaseerd	ADJ	M6 A2.2 T2+
genoteerd	ADJ	I2.1
3g	NOUN	Q1.3/Y2
3i	PROPN	Z3c
derde	ADJ	N4 N5 N1 S1.1.3-/S2mf T1.3
vierjarig	ADJ	T1.3 T3
veertigvoudig	ADJ	N5
veertigminuut	ADJ	T1.3
veertigton	ADJ	N3.5
40k	NOUN	I1
veertienjarig	ADJ	T3
vierenveertigjarig	ADJ	T3
vijfenveertigjarig	ADJ	T3
450k	NOUN	I1
vierde	ADJ	N4
vijf	NUM	N1 T3 T1.2
vijfspeler	ADJ	K5.1
vijfdag	NOUN	T1.3 T3
vijfjarig	ADJ	T1.3 T3
5/6	NUM	N1
50-60%	NUM	N5
50/50	NUM	A7 N5
50k	NOUN	I1
52-week	ADJ	T1.3
negenenvijftigjarig	ADJ	T3
achtenvijftigjarig	ADJ	T3
5k	NOUN	I1
5p	NOUN	I1
zesvoet	ADJ	N3.7
zesmaand	ADJ	T1.3 T3
600k	NOUN	I1
620	NUM	N1 Z3
650k	NOUN	I1
negenenzestigjarig	ADJ	T3
zesde	ADJ	N4 N1
zevendag	ADJ	T1.3 T3
7/8	NUM	N3.7
70-80%	NUM	N5
zeventig	NUM	N1 T3 T1.2
75/25	NUM	N5
757	NUM	M5fn
negenweg	ADJ	M6
90	NUM	T1.3
negenentwintigmijl	NOUN	N3.3
vijfennegentig	NUM	T3 T1.3 T1.2
zesennegentigjarig	ADJ	T3
98-pound	ADJ	N3.5
99.9%	NOUN	N5
999	NUM	N1 Z3c
a-level	NOUN	P1
a-levels	NOUN	P1
a-z	PROPN	Z3
a-z	NOUN	Q4.1
a-bom	NOUN	G3
a-road	NOUN	M3
a3-grootte	ADJ	N3.2/Q1.2
a69	PROPN	M6
aa	PROPN	F2 M3 M5
ab	NOUN	P1
abcc	PROPN	Z3c
abco	NOUN	Z3c
abh	NOUN	E3-
abm	PROPN	G3
abs	NOUN	O1.1
abs	PROPN	Z3
abta	PROPN	Z3c
abtgi	PROPN	Z3c
ac	PROPN	Z3c
ac/dc	NOUN	S3.2/S2mf
acas	PROPN	S5+c
acc	NOUN	G2.1/S2mf
acca	PROPN	Z3c
acdc	NOUN	O3 S3.2@
acdc	PROPN	Z3c
acg	PROPN	Z3c
achpr81	PROPN	Z3
achr69	PROPN	Z3
aclu	NOUN	Z3/G1.2
acnac	PROPN	Z3c
acp	PROPN	Z3
acpo	PROPN	Z3c
acsm	PROPN	Z3c
actt	PROPN	Z3c
ad	ADV	T1.1.1 A13.4
adhd	PROPN	B2-/X5.1-
adsl	NOUN	Y2
adt	PROPN	Z3c
aeb	PROPN	Z3c
aee	PROPN	Z3c
aei	PROPN	Z3c
agb	PROPN	Z3c
agm	NOUN	S1.1.3+c
ai	NOUN	B3 Y2 Z3c
aids	NOUN	B2-
aids-gerelateerd	ADJ	B2-
aito	PROPN	Z3c
aj	PROPN	Z1mf
